Discovery ID,Planet ID
1,1
2,2
3,2
2,3
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
11,12
11,13
12,14
13,15
14,16
15,20
16,21
17,22
18,25
19,26
19,27
19,28
20,29
20,30
21,31
22,35
23,39
23,40
24,43
25,57
26,59
26,60
26,61
27,67
28,68
28,69
29,70
30,71
31,75
32,76
33,86
34,90
35,102
36,106
37,128
38,129
39,130
40,131
41,133
42,136
43,137
44,138
45,140
46,142
47,143
48,144
49,145
50,146
51,148
51,149
51,150
52,152
53,155
54,160
55,161
56,162
