column_id,abbrev_name,full_name
1,planet_id,Planet ID
2,pl_name,Planet Name
3,hostname,Host Name
4,pl_letter,Planet Letter
5,sy_snum,Number of Stars
6,sy_pnum,Number of Planets
7,sy_mnum,Number of Moons
8,discoverymethod,Discovery Method
9,disc_year,Discovery Year
10,disc_facility,Discovery Facility
11,pl_orbper,Orbital Period [days]
12,pl_orbsmax,Orbit Semi-Major Axis [au]
13,pl_angsep,Angular Separation [mas]
14,pl_rade,Planet Radius [Earth Radius]
15,pl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass]
16,pl_dens,Planet Density [g/cm**3]
17,pl_orbeccen,Eccentricity
18,pl_insol,Insolation Flux [Earth Flux]
19,pl_eqt,Equilibrium Temperature [K]
20,pl_orbincl,Inclination [deg]
21,pl_tranmid,Transit Midpoint [days]
22,pl_trandep,Transit Depth [%]
23,pl_trandur,Transit Duration [hours]
24,pl_rvamp,Radial Velocity Amplitude [m/s]
25,st_spectype,Spectral Type
26,st_rad,Stellar Radius [Solar Radius]
27,st_mass,Stellar Mass [Solar mass]
28,st_met,Stellar Metallicity [dex]
29,st_lum,Stellar Luminosity [log(Solar)]
30,st_logg,Stellar Surface Gravity [log10(cm/s**2)]
31,st_age,Stellar Age [Gyr]
32,st_dens,Stellar Density [g/cm**3]
33,st_vsin,Stellar Rotational Velocity [km/s]
34,st_rotp,Stellar Rotational Period [days]
35,st_radv,Systemic Radial Velocity [km/s]
36,ra,RA [deg]
37,dec,Dec [deg]
38,sy_dist,Distance [pc]
