column_id,abbrev_name,full_name
1,planet_id,Planet ID
2,pl_name,Planet Name
3,hostname,Host Name
4,pl_letter,Planet Letter
5,hd_name,HD ID
6,hip_name,HIP ID
7,tic_id,TIC ID
8,gaia_dr2_id,Gaia DR2 ID
9,gaia_dr3_id,Gaia DR3 ID
10,sy_snum,Number of Stars
11,sy_pnum,Number of Planets
12,sy_mnum,Number of Moons
13,cb_flag,Circumbinary Flag
14,discoverymethod,Discovery Method
15,disc_year,Discovery Year
16,disc_refname,Discovery Reference
17,disc_pubdate,Discovery Publication Date
18,disc_locale,Discovery Locale
19,disc_facility,Discovery Facility
20,disc_telescope,Discovery Telescope
21,disc_instrument,Discovery Instrument
22,rv_flag,Detected by Radial Velocity Variations
23,pul_flag,Detected by Pulsar Timing Variations
24,ptv_flag,Detected by Pulsation Timing Variations
25,tran_flag,Detected by Transits
26,ast_flag,Detected by Astrometric Variations
27,obm_flag,Detected by Orbital Brightness Modulations
28,micro_flag,Detected by Microlensing
29,etv_flag,Detected by Eclipse Timing Variations
30,ima_flag,Detected by Imaging
31,dkin_flag,Detected by Disk Kinematics
32,pl_controv_flag,Controversial Flag
33,pl_orbper,Orbital Period [days]
34,pl_orbpererr1,Orbital Period Upper Unc. [days]
35,pl_orbpererr2,Orbital Period Lower Unc. [days]
36,pl_orbperlim,Orbital Period Limit Flag
37,pl_orbper_reflink,Orbital Period Reference
38,pl_orbsmax,Orbit Semi-Major Axis [au]
39,pl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au]
40,pl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au]
41,pl_orbsmaxlim,Orbit Semi-Major Axis Limit Flag
42,pl_orbsmax_reflink,Orbit Semi-Major Axis Reference
43,pl_angsep,Angular Separation [mas]
44,pl_angseperr1,Angular Separation Upper Unc. [mas]
45,pl_angseperr2,Angular Separation Lower Unc. [mas]
46,pl_angseplim,Angular Separation Limit Flag
47,pl_angsep_reflink,Angular Separation Reference
48,pl_rade,Planet Radius [Earth Radius]
49,pl_radeerr1,Planet Radius Upper Unc. [Earth Radius]
50,pl_radeerr2,Planet Radius Lower Unc. [Earth Radius]
51,pl_radelim,Planet Radius Limit Flag
52,pl_rade_reflink,Planet Radius Reference
53,pl_radj,Planet Radius [Jupiter Radius]
54,pl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius]
55,pl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius]
56,pl_radjlim,Planet Radius Limit Flag
57,pl_radj_reflink,Planet Radius Reference
58,pl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass]
59,pl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
60,pl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
61,pl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
62,pl_bmasse_reflink,Planet Mass or Mass*sin(i) [Earth Mass] Reference
63,pl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass]
64,pl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
65,pl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
66,pl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
67,pl_bmassj_reflink,Planet Mass or Mass*sin(i) [Jupiter Mass] Reference
68,pl_bmassprov,Planet Mass or Mass*sin(i) Provenance
69,pl_dens,Planet Density [g/cm**3]
70,pl_denserr1,Planet Density Upper Unc. [g/cm**3]
71,pl_denserr2,Planet Density Lower Unc. [g/cm**3]
72,pl_denslim,Planet Density Limit Flag
73,pl_dens_reflink,Planet Density Reference
74,pl_orbeccen,Eccentricity
75,pl_orbeccenerr1,Eccentricity Upper Unc.
76,pl_orbeccenerr2,Eccentricity Lower Unc.
77,pl_orbeccenlim,Eccentricity Limit Flag
78,pl_orbeccen_reflink,Eccentricity Reference
79,pl_insol,Insolation Flux [Earth Flux]
80,pl_insolerr1,Insolation Flux Upper Unc. [Earth Flux]
81,pl_insolerr2,Insolation Flux Lower Unc. [Earth Flux]
82,pl_insollim,Insolation Flux Limit Flag
83,pl_insol_reflink,Insolation Flux Reference
84,pl_eqt,Equilibrium Temperature [K]
